Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;;;;;blancos;15
;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;82;116;1;ACCION CORRENTINA;positivo;6
FRENTE DE TODOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;501;117;1;CELESTE Y BLANCA;positivo;75
FRENTE DE TODOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;8
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;502;118;3;VERDE;positivo;79
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;502;118;2;VAMOS JUNTOS;positivo;18
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;10
VAMOS CON VOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;503;119;2;LIBRES;positivo;6
VAMOS CON VOS;DIPUTADOS NACIONALES;44;Corrientes;COL.SECUND.OLGA COSSETTINI;12/09/2021 19:05;3;0005C;5;1;00467X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;6
